"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R58","SMD_Resistor_0603","300mil","475.001mil","300mil","475.001mil","327.5mil","475.001mil","T","360.00","Resistor"
"R59","SMD_Resistor_0603","1235mil","600mil","1235mil","600mil","1235mil","627.5mil","T","90.00","Resistor"
"SW1","218-4LPST","2889.999mil","789.999mil","2739.999mil","864.999mil","2739.999mil","864.999mil","T","360.00","SW_DIP_4Position"
"SW3","218-4LPST","585mil","225.001mil","510mil","75.001mil","510mil","75.001mil","T","90.00","SW_DIP_4Position"
"SW4","EVQPAC07K","205mil","230.001mil","205mil","230.001mil","116.418mil","357.953mil","T","0.00","PB_Switch"
"U1","SP3010-04UTG","1725.001mil","335.001mil","1725.001mil","335.001mil","1686.001mil","318.001mil","T","180.00","ESD_4Channel"
"U3","TSOP-5___NCP361SNT1G","875mil","205.001mil","875mil","205.001mil","922.245mil","167.599mil","T","180.00","USB Overvoltage Protection"
"U5","PDIP300-P8","595mil","695.001mil","595mil","695.001mil","445mil","545.001mil","T","90.00","24AA1025-I/P"
"U6","TI-DRC10-2400X1650TP_V","490.315mil","1240.315mil","490.315mil","1240.315mil","432.245mil","1279.685mil","T","0.00","TPS74801DRCR"
"U7","TI-D8_N","495mil","1690.001mil","495mil","1690.001mil","400.512mil","1765.001mil","T","360.00","TPS76801QD"
"u9","NX3225SA","2155.001mil","375.001mil","2155.001mil","375.001mil","2111.693mil","343.505mil","T","90.00","CrystalOSC_General"
"U2","BGA121C80P11X11_1000X1000X100","1670.001mil","855.001mil","1670.001mil","855.001mil","1827.48mil","697.521mil","T","180.00","EZ FX3 USB"
"R60","SMD_Resistor_0603","2725mil","1285mil","2725mil","1285mil","2725mil","1257.5mil","T","270.00","Resistor"
"R61","SMD_Resistor_0603","2725.001mil","1490.001mil","2725.001mil","1490.001mil","2725.001mil","1462.501mil","T","270.00","Resistor"
"R66","SMD_Resistor_0603","2675mil","1490mil","2675mil","1490mil","2675mil","1517.5mil","T","90.00","Resistor"
"U11","LED_0603","2990.001mil","1280.001mil","2990.001mil","1280.001mil","2990.001mil","1250.501mil","T","90.00","LED"
"U12","LED_0603","2985mil","1485mil","2985mil","1485mil","2985mil","1455.5mil","T","90.00","LED"
"U16","SOT23127P600-8N","2830.001mil","1485.001mil","2830.001mil","1485.001mil","2869.371mil","1485.001mil","T","360.00","transistor NPN"
"U18","SOT23127P600-8N","2830.001mil","1050.001mil","2830.001mil","1050.001mil","2869.371mil","1050.001mil","T","360.00","transistor NPN"
"C39","SMD_Capacitor_0603","1395mil","1070mil","1395mil","1070mil","1422.5mil","1070mil","T","360.00","Capacitor"
"J7","4Pin_Verital_0.1"","2450mil","1660mil","2450mil","1660mil","2450mil","1810mil","T","270.00","4 Pin Connector"
"J8","4Pin_Verital_0.1"","2550mil","1660mil","2550mil","1660mil","2550mil","1810mil","T","270.00","4 Pin Connector"
"TP3","TESTPIN","2550mil","1340mil","2550mil","1340mil","2550mil","1340mil","T","0.00","TESTPIN"
"TP4","TESTPIN","2450mil","1340mil","2450mil","1340mil","2450mil","1340mil","T","0.00","TESTPIN"
"R36","SMD_Resistor_0603","2035mil","1605mil","2035mil","1605mil","2062.5mil","1605mil","T","360.00","10k"
"V3P3","Light_Pipe","2985mil","1055mil","2985mil","1055mil","2905mil","975mil","T","0.00","Light Pipe"
"COAX","Light_Pipe","2985mil","1280mil","2985mil","1280mil","2905mil","1200mil","T","0.00","Light Pipe"
"LOCK","Light_Pipe","2985mil","1485mil","2985mil","1485mil","2905mil","1405mil","T","0.00","Light Pipe"
"J6","SSMCX_EDGE","1735mil","2050.295mil","1735mil","2250mil","1789.724mil","2008.071mil","T","0.00","Coax Connector"
"J9","3Pin_Verital_0.1"_JUMOER","2925mil","1705mil","2925mil","1705mil","2825mil","1705mil","T","360.00","3 Pin Connector"

